Rank,PlayerID,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
360,18080,Trevor Davis,GB,null,28,WR,WR141,948,948,948,948,948,312
361,16664,Bruce Ellington,HOU,null,30,WR,WR142,null,null,null,null,null,313
362,16278,Cody Latimer,DEN,null,29,WR,WR143,null,null,null,null,null,314
363,19023,Mack Hollins,PHI,8,28,WR,WR144,null,null,null,null,null,315
364,11501,Arrelious Benn,JAX,null,33,WR,WR145,null,null,null,null,null,316
365,17966,Cody Kessler,CLE,null,28,QB,QB36,null,null,null,null,null,317
366,16979,Neal Sterling,NYJ,null,30,WR,WR146,null,null,null,null,null,318
367,5084,Vernon Davis,WAS,null,38,TE,TE31,null,null,null,null,null,319
368,16920,Jesse James,PIT,null,27,TE,TE32,516,516,516,516,516,320
369,16790,Phillip Dorsett II,NE,10,29,WR,WR147,null,null,null,null,null,321
370,16931,Nick Boyle,BAL,8,29,TE,TE33,null,null,null,null,null,322
371,15123,Corey Fuller,NO,null,31,WR,WR148,null,null,null,null,null,323
372,18041,Tyler Ervin,HOU,null,28,RB,RB108,null,null,null,null,null,324
373,19008,Ryan Switzer,DAL,null,27,WR,WR149,null,null,null,null,null,325
374,18039,Pharoh Cooper,LAR,null,27,WR,WR150,null,null,null,null,null,326
375,18014,Leonte Carroo,MIA,null,28,WR,WR151,null,null,null,null,null,327
376,19017,Josh Reynolds,LAR,null,27,WR,WR152,210,210,210,210,210,328
377,3061,Marcedes Lewis,JAX,13,37,TE,TE34,null,null,null,null,null,329
378,14985,Ryan Griffin,HOU,10,32,TE,TE35,null,null,null,null,null,330
379,14789,Jamize Olawale,LV,null,33,FB,RB109,null,null,null,null,null,331
380,17929,Paxton Lynch,DEN,null,28,QB,QB37,null,null,null,null,null,332
381,15965,Trey Burton,PHI,null,30,TE,TE36,null,null,null,null,null,333
382,18116,Cody Core,CIN,14,28,WR,WR153,null,null,null,null,null,334
383,15239,Vance McDonald,PIT,null,31,TE,TE37,null,null,null,null,null,335
384,17927,Christian Hackenberg,NYJ,null,27,QB,QB38,null,null,null,null,null,336
385,18152,Dwayne Washington,DET,6,28,RB,RB110,null,null,null,null,null,337
386,19063,George Kittle,SF,6,28,TE,TE38,null,null,null,null,null,338
387,18990,Jonnu Smith,TEN,14,26,TE,TE39,null,null,null,null,null,339
388,18931,Adam Shaheen,CHI,14,27,TE,TE40,null,null,null,null,null,341
389,13103,Scott Tolzien,IND,null,34,QB,QB39,null,null,null,null,null,342
390,17089,Terron Ward,ATL,null,30,RB,RB111,null,null,null,null,null,343
391,14877,Caleb Sturgis,PHI,null,32,K,K16,null,null,null,null,null,344
392,19565,Younghoe Koo,LAC,6,27,K,K17,null,null,null,null,null,345
393,16962,AJ Derby,DEN,null,30,TE,TE41,null,null,null,null,null,346
394,5714,Phil Dawson,ARI,null,47,K,K18,null,null,null,null,null,347
395,13961,Randy Bullock,CIN,13,32,K,K19,null,null,null,null,null,348
396,11694,Nick Folk,TB,14,37,K,K20,null,null,null,null,null,349
397,18443,Maurice Harris,WAS,null,29,WR,WR154,null,null,null,null,null,350
398,18215,Ka'imi Fairbairn,HOU,10,28,K,K21,null,null,null,null,null,351
399,14740,Kai Forbath,MIN,null,34,K,K22,null,null,null,null,null,352
