Rank,PlayerID,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGame,FantasyPoints
163,21635,Jalen Thompson,ARI,SS,17,0,0,0,0,0,0,0,0,0,3,0,0,7.1,121
163,14996,Brandon McManus,DEN,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7.1,121
163,32,Los Angeles Rams,LAR,DST,17,0,0,0,0,0,0,0,0,50,19,14,6,7.1,121
166,18160,Jayron Kearse,DAL,FS,16,0,0,0,0,0,0,0,0,1,2,0,1,7.5,120.2
167,18909,Haason Reddick,CAR,OLB,16,0,0,0,0,0,0,0,0,11,0,2,1,7.5,119.9
168,21921,Jeremy Chinn,CAR,S,16,0,0,0,0,0,0,0,0,1,1,1,1,7.5,119.7
169,20737,Josh Allen,JAX,DE,16,0,0,0,0,0,0,0,0,7.5,1,1,1,7.5,119.5
170,19084,Xavier Woods,MIN,FS,17,0,0,0,0,0,0,0,0,1,3,2,0,7,119.3
171,19565,Younghoe Koo,ATL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,7,119
171,12,Green Bay Packers,GB,DST,17,0,0,0,0,0,0,0,0,39,18,10,10,7,119
173,22553,Michael Carter,NYJ,RB,14,0,0,0,639,4,36,325,0,0,0,0,0,8.5,118.4
174,21739,Van Jefferson,LAR,WR,17,0,0,0,20,0,50,802,6,0,0,0,0,7,118.2
175,10333,Graham Gano,NYG,K,17,0,0,0,0,0,0,0,0,0,0,0,0,6.9,118
175,93,San Francisco 49ers,SF,DST,17,0,0,0,0,0,0,0,0,48,9,21,12,6.9,118
177,21042,A.J. Brown,TEN,WR,13,0,0,0,10,0,63,869,5,0,0,0,0,9.1,117.9
178,19238,Taysom Hill,NO,QB,12,978,4,5,374,5,4,52,0,0,0,0,0,9.8,117.72
179,20912,Tony Pollard,DAL,RB,15,0,0,0,719,2,39,337,0,0,0,0,0,7.8,117.6
180,16762,Jameis Winston,NO,QB,7,1170,14,3,166,1,0,0,0,0,0,0,0,16.8,117.4
181,20749,T.J. Edwards,PHI,ILB,16,0,0,0,0,0,0,0,0,1,1,0,1,7.3,117.3
181,17915,Joey Bosa,LAC,DE,16,0,0,0,0,0,0,0,0,10.5,0,7,0,7.3,117.3
181,16786,Shaq Thompson,CAR,ILB,14,0,0,0,0,0,0,0,0,2,2,0,0,8.4,117.3
184,22714,Nick Bolton,KC,LB,16,0,0,0,0,0,0,0,0,0,0,0,1,7.3,117
185,17986,Tyler Boyd,CIN,WR,16,46,0,0,22,0,67,828,5,0,0,0,0,7.3,116.84
186,21015,Maxx Crosby,LV,DE,17,0,0,0,0,0,0,0,0,8,0,0,0,6.9,116.75
187,17935,Leonard Floyd,LAR,OLB,17,0,0,0,0,0,0,0,0,9.5,1,1,1,6.8,116.35
188,10974,Rob Gronkowski,TB,TE,12,0,0,0,0,0,55,802,6,0,0,0,0,9.7,116.2
189,19799,Rashaad Penny,SEA,RB,10,0,0,0,749,6,6,48,0,0,0,0,0,11.6,115.7
190,22156,Tae Crowder,NYG,LB,17,0,0,0,0,0,0,0,0,0,2,1,0,6.8,115.5
191,20850,Dawson Knox,BUF,TE,15,0,0,0,4,0,49,587,9,0,0,1,0,7.7,115.1
192,21747,Brandon Aiyuk,SF,WR,17,0,0,0,17,0,56,826,5,0,0,0,0,6.7,114.3
192,17975,Hunter Henry,NE,TE,17,0,0,0,0,0,50,603,9,0,0,0,0,6.7,114.3
194,21940,Antoine Winfield Jr.,TB,S,13,0,0,0,0,0,0,0,0,2,2,2,3,8.8,113.8
195,22051,Trevon Diggs,DAL,CB,16,0,0,0,0,0,0,0,0,0,11,0,0,7.1,113.5
195,17919,Jalen Ramsey,LAR,DB,16,0,0,0,0,0,0,0,0,0,4,1,1,7.1,113.5
197,18981,Trey Hendrickson,CIN,DE,16,0,0,0,0,0,0,0,0,14,0,3,0,7.1,113.15
198,18927,Budda Baker,ARI,FS,17,0,0,0,0,0,0,0,0,2,3,0,1,6.6,113
198,49,Denver Broncos,DEN,DST,17,0,0,0,0,0,0,0,0,36,13,6,6,6.6,113
200,21490,Azeez Al-Shaair,SF,ILB,13,0,0,0,0,0,0,0,0,2,1,1,2,8.7,112.8
201,21691,Chuba Hubbard,CAR,RB,17,0,0,0,612,5,25,174,1,0,0,0,0,6.6,112.6
201,16524,Devonta Freeman,BAL,RB,16,0,0,0,576,5,34,190,1,0,0,0,0,7,112.6
203,16819,Markus Golden,ARI,OLB,16,0,0,0,0,0,0,0,0,11,0,3,2,7,112.5
204,16888,Damien Wilson,JAX,LB,17,0,0,0,0,0,0,0,0,3,1,1,0,6.6,112.3
205,15136,Micah Hyde,BUF,S,17,0,0,0,0,0,0,0,0,1,5,1,2,6.6,112.1
206,19944,Ja'Whaun Bentley,NE,LB,16,0,0,0,0,0,0,0,0,1,0,3,0,7,111.5
207,17991,Vonn Bell,CIN,SS,16,0,0,0,0,0,0,0,0,0.5,1,3,1,6.9,111.1
208,20971,Andrew Van Ginkel,MIA,OLB,17,0,0,0,0,0,0,0,0,4,0,1,0,6.5,110.75
209,18875,Jonathan Allen,WAS,DT,17,0,0,0,0,0,0,0,0,9,0,0,0,6.5,110.1
210,19037,Matt Milano,BUF,OLB,16,0,0,0,0,0,0,0,0,3,0,0,2,6.8,109.2
211,19863,Dallas Goedert,PHI,TE,15,0,0,0,0,0,56,830,4,0,0,0,0,7.3,109
211,20167,J.C. Jackson,NE,CB,17,0,0,0,0,0,0,0,0,0,8,1,0,6.4,109
211,21936,Xavier McKinney,NYG,S,17,0,0,0,0,0,0,0,0,0,5,0,0,6.4,109
211,28,Pittsburgh Steelers,PIT,DST,17,0,0,0,0,0,0,0,0,55,13,18,10,6.4,109
215,17958,Emmanuel Ogbah,MIA,DE,17,0,0,0,0,0,0,0,0,9,0,1,1,6.4,108.9
216,22508,Kyle Pitts,ATL,TE,17,0,0,0,0,0,68,1026,1,0,0,0,0,6.4,108.6
217,21897,Alex Highsmith,PIT,LB,16,0,0,0,0,0,0,0,0,6,0,1,0,6.8,108.55
218,21714,K.J. Osborn,MIN,WR,17,0,0,0,10,0,50,655,7,0,0,0,0,6.4,108.5
219,21982,Patrick Queen,BAL,LB,17,0,0,0,0,0,0,0,0,2,0,1,1,6.4,108.4
220,16724,Adrian Phillips,NE,SS,17,0,0,0,0,0,0,0,0,0,4,1,0,6.4,108
220,21926,Kyle Dugger,NE,S,15,0,0,0,0,0,0,0,0,0,4,0,1,7.2,108
220,20731,Johnathan Abram,LV,FS,14,0,0,0,0,0,0,0,0,0,1,0,1,7.7,108
220,7,Cincinnati Bengals,CIN,DST,17,0,0,0,0,0,0,0,0,42,13,17,8,6.4,108
224,16467,Kyle Van Noy,NE,LB,16,0,0,0,0,0,0,0,0,5,1,2,1,6.7,107.7
224,20919,Taylor Rapp,LAR,SS,17,0,0,0,0,0,0,0,0,1.5,4,0,1,6.3,107.7
226,21052,Brian Burns,CAR,DE,17,0,0,0,0,0,0,0,0,9,0,2,0,6.3,107.65
227,21752,Chase Claypool,PIT,WR,15,0,0,0,96,0,59,860,2,0,0,0,0,7.2,107.6
227,20767,Rashan Gary,GB,OLB,16,0,0,0,0,0,0,0,0,9.5,0,2,1,6.7,107.6
227,19766,Saquon Barkley,NYG,RB,13,0,0,0,593,2,41,263,2,0,0,0,0,8.3,107.6
230,19876,Tracy Walker III,DET,FS,15,0,0,0,0,0,0,0,0,1,1,0,0,7.2,107.3
230,18023,Justin Simmons,DEN,FS,17,0,0,0,0,0,0,0,0,1.5,5,0,0,6.3,107.3
232,13870,Marvin Jones Jr.,JAX,WR,17,0,0,0,0,0,73,832,4,0,0,0,0,6.3,107.2
233,20033,Jason Sanders,MIA,K,17,0,0,0,0,0,0,0,0,0,0,0,0,6.3,107
233,38,Chicago Bears,CHI,DST,17,0,0,0,0,0,0,0,0,49,8,14,9,6.3,107
233,26,Philadelphia Eagles,PHI,DST,17,0,0,0,0,0,0,0,0,29,12,13,4,6.3,107
236,14856,Zach Ertz,ARI,TE,17,0,0,0,4,0,74,763,5,0,0,0,0,6.3,106.7
236,19871,Sam Hubbard,CIN,DE,16,0,0,0,0,0,0,0,0,7.5,0,1,2,6.7,106.7
238,21927,Brandon Jones,MIA,FS,15,0,0,0,0,0,0,0,0,5,1,1,2,7.1,106.4
239,17967,Joe Schobert,PIT,ILB,16,0,0,0,0,0,0,0,0,0,1,1,0,6.6,106
239,8,Cleveland Browns,CLE,DST,17,0,0,0,0,0,0,0,0,43,13,12,7,6.2,106
241,21750,Marquez Callaway,NO,WR,17,0,0,0,0,0,46,698,6,0,0,0,0,6.2,105.8
242,22003,Logan Wilson,CIN,LB,13,0,0,0,0,0,0,0,0,1,4,1,0,8.1,105.7
243,20940,Jeffery Simmons,TEN,DE,17,0,0,0,0,0,0,0,0,8.5,0,0,0,6.2,105.45
244,14986,DeAndre Hopkins,ARI,WR,10,0,0,0,0,0,42,572,8,0,0,0,0,10.5,105.2
245,14375,Lavonte David,TB,ILB,12,0,0,0,0,0,0,0,0,2,0,2,1,8.8,105.1
245,15226,Tyrann Mathieu,KC,SS,16,0,0,0,0,0,0,0,0,1,3,0,3,6.6,105.1
247,1410,Robbie Gould,SF,K,13,0,0,0,0,0,0,0,0,0,0,0,0,8.1,105
247,16301,Cairo Santos,CHI,K,17,0,0,0,0,0,0,0,0,0,0,0,0,6.2,105
249,16767,Leonard Williams,NYG,DE,17,0,0,0,0,0,0,0,0,6.5,0,2,1,6.2,104.85
250,17933,DeForest Buckner,IND,DT,17,0,0,0,0,0,0,0,0,7,0,0,0,6.2,104.55
